Province/State,Country/Region,Lat,Long,Date,Case,Count
Beijing,Mainland China,40.18238,116.4142,2020-02-04,confirmed,228
Beijing,Mainland China,40.18238,116.4142,2020-02-04,recovered,23
Beijing,Mainland China,40.18238,116.4142,2020-02-04,death,1
Beijing,Mainland China,40.18238,116.4142,2020-02-05,confirmed,253
Beijing,Mainland China,40.18238,116.4142,2020-02-05,recovered,24
Beijing,Mainland China,40.18238,116.4142,2020-02-05,death,1
Beijing,Mainland China,40.18238,116.4142,2020-02-06,confirmed,274
Beijing,Mainland China,40.18238,116.4142,2020-02-06,recovered,31
Beijing,Mainland China,40.18238,116.4142,2020-02-06,death,1
Beijing,Mainland China,40.18238,116.4142,2020-02-07,confirmed,297
Beijing,Mainland China,40.18238,116.4142,2020-02-07,recovered,33
Beijing,Mainland China,40.18238,116.4142,2020-02-07,death,1
Beijing,Mainland China,40.18238,116.4142,2020-02-08,confirmed,315
Beijing,Mainland China,40.18238,116.4142,2020-02-08,recovered,34
Beijing,Mainland China,40.18238,116.4142,2020-02-08,death,2
Beijing,Mainland China,40.18238,116.4142,2020-02-09,confirmed,326
Beijing,Mainland China,40.18238,116.4142,2020-02-09,recovered,37
Beijing,Mainland China,40.18238,116.4142,2020-02-09,death,2
Beijing,Mainland China,40.18238,116.4142,2020-02-10,confirmed,337
Beijing,Mainland China,40.18238,116.4142,2020-02-10,recovered,44
Beijing,Mainland China,40.18238,116.4142,2020-02-10,death,2
Beijing,Mainland China,40.18238,116.4142,2020-02-11,confirmed,342
Beijing,Mainland China,40.18238,116.4142,2020-02-11,recovered,48
Beijing,Mainland China,40.18238,116.4142,2020-02-11,death,3
Beijing,Mainland China,40.18238,116.4142,2020-02-12,confirmed,352
Beijing,Mainland China,40.18238,116.4142,2020-02-12,recovered,56
Beijing,Mainland China,40.18238,116.4142,2020-02-12,death,3
Beijing,Mainland China,40.18238,116.4142,2020-02-13,confirmed,366
Beijing,Mainland China,40.18238,116.4142,2020-02-13,recovered,69
Beijing,Mainland China,40.18238,116.4142,2020-02-13,death,3
Beijing,Mainland China,40.18238,116.4142,2020-02-14,confirmed,372
Beijing,Mainland China,40.18238,116.4142,2020-02-14,recovered,80
Beijing,Mainland China,40.18238,116.4142,2020-02-14,death,3
Beijing,Mainland China,40.18238,116.4142,2020-02-15,confirmed,375
Beijing,Mainland China,40.18238,116.4142,2020-02-15,recovered,98
Beijing,Mainland China,40.18238,116.4142,2020-02-15,death,4
Beijing,Mainland China,40.18238,116.4142,2020-02-16,confirmed,380
Beijing,Mainland China,40.18238,116.4142,2020-02-16,recovered,108
Beijing,Mainland China,40.18238,116.4142,2020-02-16,death,4
Beijing,Mainland China,40.18238,116.4142,2020-02-17,confirmed,381
Beijing,Mainland China,40.18238,116.4142,2020-02-17,recovered,114
Beijing,Mainland China,40.18238,116.4142,2020-02-17,death,4
Beijing,Mainland China,40.18238,116.4142,2020-02-18,confirmed,387
Beijing,Mainland China,40.18238,116.4142,2020-02-18,recovered,122
Beijing,Mainland China,40.18238,116.4142,2020-02-18,death,4
Beijing,Mainland China,40.18238,116.4142,2020-02-19,confirmed,393
Beijing,Mainland China,40.18238,116.4142,2020-02-19,recovered,145
Beijing,Mainland China,40.18238,116.4142,2020-02-19,death,4
Beijing,Mainland China,40.18238,116.4142,2020-02-20,confirmed,395
Beijing,Mainland China,40.18238,116.4142,2020-02-20,recovered,153
Beijing,Mainland China,40.18238,116.4142,2020-02-20,death,4
Beijing,Mainland China,40.18238,116.4142,2020-02-21,confirmed,396
Beijing,Mainland China,40.18238,116.4142,2020-02-21,recovered,169
Beijing,Mainland China,40.18238,116.4142,2020-02-21,death,4
Beijing,Mainland China,40.18238,116.4142,2020-02-22,confirmed,399
Beijing,Mainland China,40.18238,116.4142,2020-02-22,recovered,178
Beijing,Mainland China,40.18238,116.4142,2020-02-22,death,4
Beijing,Mainland China,40.18238,116.4142,2020-02-23,confirmed,399
Beijing,Mainland China,40.18238,116.4142,2020-02-23,recovered,189
Beijing,Mainland China,40.18238,116.4142,2020-02-23,death,4
Beijing,Mainland China,40.18238,116.4142,2020-02-24,confirmed,399
Beijing,Mainland China,40.18238,116.4142,2020-02-24,recovered,198
Beijing,Mainland China,40.18238,116.4142,2020-02-24,death,4
Beijing,Mainland China,40.18238,116.4142,2020-02-25,confirmed,400
Beijing,Mainland China,40.18238,116.4142,2020-02-25,recovered,215
Beijing,Mainland China,40.18238,116.4142,2020-02-25,death,4
Beijing,Mainland China,40.18238,116.4142,2020-02-26,confirmed,400
Beijing,Mainland China,40.18238,116.4142,2020-02-26,recovered,235
Beijing,Mainland China,40.18238,116.4142,2020-02-26,death,4
Chongqing,Mainland China,30.05718,107.874,2020-01-22,confirmed,6
Chongqing,Mainland China,30.05718,107.874,2020-01-22,recovered,0
Chongqing,Mainland China,30.05718,107.874,2020-01-22,death,0
Chongqing,Mainland China,30.05718,107.874,2020-01-23,confirmed,9
Chongqing,Mainland China,30.05718,107.874,2020-01-23,recovered,0
Chongqing,Mainland China,30.05718,107.874,2020-01-23,death,0
Chongqing,Mainland China,30.05718,107.874,2020-01-24,confirmed,27
Chongqing,Mainland China,30.05718,107.874,2020-01-24,recovered,0
Chongqing,Mainland China,30.05718,107.874,2020-01-24,death,0
Chongqing,Mainland China,30.05718,107.874,2020-01-25,confirmed,57
Chongqing,Mainland China,30.05718,107.874,2020-01-25,recovered,0
Chongqing,Mainland China,30.05718,107.874,2020-01-25,death,0
Chongqing,Mainland China,30.05718,107.874,2020-01-26,confirmed,75
Chongqing,Mainland China,30.05718,107.874,2020-01-26,recovered,0
Chongqing,Mainland China,30.05718,107.874,2020-01-26,death,0
Chongqing,Mainland China,30.05718,107.874,2020-01-27,confirmed,110
Chongqing,Mainland China,30.05718,107.874,2020-01-27,recovered,0
Chongqing,Mainland China,30.05718,107.874,2020-01-27,death,0
Chongqing,Mainland China,30.05718,107.874,2020-01-28,confirmed,132
Chongqing,Mainland China,30.05718,107.874,2020-01-28,recovered,0
Chongqing,Mainland China,30.05718,107.874,2020-01-28,death,0
Chongqing,Mainland China,30.05718,107.874,2020-01-29,confirmed,147
Chongqing,Mainland China,30.05718,107.874,2020-01-29,recovered,1
Chongqing,Mainland China,30.05718,107.874,2020-01-29,death,0
Chongqing,Mainland China,30.05718,107.874,2020-01-30,confirmed,182
Chongqing,Mainland China,30.05718,107.874,2020-01-30,recovered,1
Chongqing,Mainland China,30.05718,107.874,2020-01-30,death,0
Chongqing,Mainland China,30.05718,107.874,2020-01-31,confirmed,211
Chongqing,Mainland China,30.05718,107.874,2020-01-31,recovered,1
Chongqing,Mainland China,30.05718,107.874,2020-01-31,death,0
Chongqing,Mainland China,30.05718,107.874,2020-02-01,confirmed,247
Chongqing,Mainland China,30.05718,107.874,2020-02-01,recovered,3
Chongqing,Mainland China,30.05718,107.874,2020-02-01,death,1
Chongqing,Mainland China,30.05718,107.874,2020-02-02,confirmed,300
Chongqing,Mainland China,30.05718,107.874,2020-02-02,recovered,7
Chongqing,Mainland China,30.05718,107.874,2020-02-02,death,2
Chongqing,Mainland China,30.05718,107.874,2020-02-03,confirmed,337
Chongqing,Mainland China,30.05718,107.874,2020-02-03,recovered,9
Chongqing,Mainland China,30.05718,107.874,2020-02-03,death,2
Chongqing,Mainland China,30.05718,107.874,2020-02-04,confirmed,366
Chongqing,Mainland China,30.05718,107.874,2020-02-04,recovered,9
Chongqing,Mainland China,30.05718,107.874,2020-02-04,death,2
Chongqing,Mainland China,30.05718,107.874,2020-02-05,confirmed,389
Chongqing,Mainland China,30.05718,107.874,2020-02-05,recovered,15
Chongqing,Mainland China,30.05718,107.874,2020-02-05,death,2
Chongqing,Mainland China,30.05718,107.874,2020-02-06,confirmed,411
Chongqing,Mainland China,30.05718,107.874,2020-02-06,recovered,24
Chongqing,Mainland China,30.05718,107.874,2020-02-06,death,2
Chongqing,Mainland China,30.05718,107.874,2020-02-07,confirmed,426
Chongqing,Mainland China,30.05718,107.874,2020-02-07,recovered,31
Chongqing,Mainland China,30.05718,107.874,2020-02-07,death,2
Chongqing,Mainland China,30.05718,107.874,2020-02-08,confirmed,428
Chongqing,Mainland China,30.05718,107.874,2020-02-08,recovered,39
Chongqing,Mainland China,30.05718,107.874,2020-02-08,death,2
Chongqing,Mainland China,30.05718,107.874,2020-02-09,confirmed,468
